Key,Label,MinGun,Sans,Sure,SpawnCarpani,SabirCarpani,FiyatCarpani,TeslimatCarpani,StokCarpani,TakvimPeriyodu,OzelTur
OkulCikisi,Okul Çıkışı,1,0.20,45,1.8,0.8,0.95,1.0,1.0,0,1
MacGunu,Maç Günü,2,0.15,60,1.6,0.7,1.1,1.2,1.0,7,0
Yagmur,Yağmur,1,0.18,-1,0.6,1.1,1.0,1.7,1.0,0,0
SicakHava,Sıcak Hava,2,0.15,-1,1.1,0.9,1.0,1.0,1.0,0,0
IsotZammi,İsot Zammı,3,0.12,-1,1.0,1.0,1.0,1.0,1.5,0,0
TedarikGecikmesi,Tedarik Gecikmesi,2,0.12,-1,1.0,1.0,1.0,1.0,1.0,0,0
ElektrikKesintisi,Elektrik Kesintisi,3,0.10,50,0.9,1.0,1.0,1.0,1.0,0,7
BelediyeDenetimi,Belediye Denetimi,2,0.12,-1,1.0,1.0,1.0,1.0,1.0,0,2
UnluMusteri,Ünlü Müşteri,3,0.10,40,1.2,1.0,1.0,1.0,1.0,0,3
FenomenZiyareti,Fenomen Ziyareti,4,0.10,40,1.1,1.0,1.0,1.0,1.0,0,4
RakipKampanyasi,Rakip Kampanyası,2,0.12,-1,0.7,1.0,1.0,1.0,1.0,0,0
SokakFestivali,Sokak Festivali,4,0.10,-1,1.9,0.85,1.15,1.3,1.0,12,0
BuyukTeslimat,Büyük Teslimat,3,0.12,60,1.0,1.0,1.0,1.0,1.0,0,5
MalzemeKitligi,Malzeme Kıtlığı,3,0.08,-1,1.0,1.0,1.0,1.0,1.3,0,6
